Question_EN,Question_TL,Answer,Source,Category,BAAI_documents_retrieved,snowflake_documents_retrieved,multilingual_documents_retrieved
What are the implications of converting an existing high school annex into a separate and independent high school in terms of administration and resource management?,Ano ang mga implikasyon ng pag-convert ng umiiral na annex ng paaralan sa isang hiwalay at independiyenteng mataas na paaralan sa aspeto ng administrasyon at pamamahala ng mga mapagkukunan?,"Converting an existing high school annex into a separate and independent high school involves transferring all assets, personnel, and records from the annex to the new independent school. This change means that the newly established high school will manage its own administration, resources, and operations independently from the original school. The transition is facilitated by maintaining the employment security of the current teaching and non-teaching staff as outlined by existing laws. Additionally, the city mayor is authorized to allocate necessary funds for the proper implementation and operation of the newly independent high school.","SP-3035, S-2021",Operative,"[[""SP-3035, S-2021"", ""Operative"", 0.987097978591919], [""SP-3035, S-2021"", ""Preamble"", 0.8281619548797607], [""SP-3035, S-2021"", ""Introduction"", 0.6998270750045776], [""SP-3072, S-2021"", ""Operative"", 0.56728595495224], [""SP-3072, S-2021"", ""Preamble"", 0.45450401306152344], [""SP-3111, S-2022"", ""Operative"", 0.44534340500831604], [""SP-3111, S-2022"", ""Preamble"", 0.4098028242588043]]","[[""SP-3035, S-2021"", ""Preamble"", 0.5], [""SP-3165 S-2022"", ""Introduction"", 0.5], [""SP-3166 S-2022"", ""Preamble"", 0.4970116913318634], [""SP-3035, S-2021"", ""Operative"", 0.4871215522289276], [""SP-3035, S-2021"", ""Introduction"", 0.48394083976745605], [""SP-2445, S-2015"", ""Preamble"", 0.4679289758205414], [""SP-8990, S-2022"", ""Introduction"", 0.4344562590122223]]","[[""SP-3035, S-2021"", ""Preamble"", 0.8672341108322144], [""SP-3035, S-2021"", ""Operative"", 0.8377593755722046], [""SP-3035, S-2021"", ""Introduction"", 0.7664221525192261], [""SP-3111, S-2022"", ""Introduction"", 0.49255475401878357], [""SP-7903, S-2019"", ""Operative"", 0.4387536942958832], [""SP-3072, S-2021"", ""Operative"", 0.43868488073349], [""SP-3018, S-2021"", ""Uncategorized"", 0.40123680233955383]]"
"What assistance will the OFWs' Help Desk provide to families of distressed and displaced OFWs, particularly economically handicapped parents and minor children?","Anong tulong ang ibibigay ng OFWs' Help Desk sa mga pamilya ng mga distressed at displaced OFWs, partikular sa mga magulang na kulang sa pinansyal at menor-de-edad na mga anak?","The OFWs' Help Desk will provide assistance to families of distressed and displaced OFWs, particularly to their economically handicapped parents and minor children. This assistance can include efforts for employment assistance, protecting the welfare of the families, and facilitating economic productivity through investment or enterprise development initiatives with relevant Quezon City offices.","SP-3336, S-2024",Operative,"[[""SP-3336, S-2024"", ""Operative"", 1.0], [""SP-3336, S-2024"", ""Preamble"", 0.6169277429580688], [""SP-3299, S-2024"", ""Operative"", 0.30297064781188965], [""SP-3299, S-2024"", ""Operative"", 0.24079054594039917]]","[[""SP-3336, S-2024"", ""Operative"", 0.7435681819915771], [""SP-3336, S-2024"", ""Preamble"", 0.667033851146698], [""SP-8990, S-2022"", ""Introduction"", 0.5], [""SP-3166 S-2022"", ""Preamble"", 0.4474361538887024], [""SP-2445, S-2015"", ""Preamble"", 0.44720351696014404]]","[[""SP-3336, S-2024"", ""Operative"", 0.8653189539909363], [""SP-3336, S-2024"", ""Preamble"", 0.6730886101722717], [""SP-3299, S-2024"", ""Operative"", 0.3759338855743408], [""SP-3098, S-2022"", ""Preamble"", 0.3659434914588928]]"
What happens if the Farmers Market fails to comply with the conditions of its franchise granted by the Quezon City Council?,Ano ang mangyayari kung hindi makasunod ang Farmers Market sa mga kondisyon ng prangkisang ibinigay ng Konseho ng Lungsod ng Quezon?,"If the Farmers Market fails to comply with the conditions of its franchise or continuously violates the Revised Quezon City Market Code, Quezon City Revenue Code, and other applicable laws, rules, and regulations, it may have its franchise revoked or withdrawn by the City Government, after the observance of due process.","SP-9050, S-2022",Preamble,"[[""SP-9050, S-2022"", ""Operative"", 0.9085992574691772], [""SP-9050, S-2022"", ""Preamble"", 0.847744345664978], [""SP-3116, S-2022"", ""Operative"", 0.49402931332588196], [""SP-9050, S-2022"", ""Introduction"", 0.47557324171066284], [""SP-0983, S-2000"", ""Introduction"", 0.31739699840545654], [""SP-3160, S-2022"", ""Operative"", 0.26735055446624756]]","[[""SP-9050, S-2022"", ""Preamble"", 0.6314303874969482], [""SP-3165 S-2022"", ""Introduction"", 0.5], [""SP-3116, S-2022"", ""Preamble"", 0.44331422448158264], [""SP-9050, S-2022"", ""Operative"", 0.40858012437820435], [""SP-9050, S-2022"", ""Introduction"", 0.3913567364215851], [""SP-0944, S-2000"", ""Introduction"", 0.37541669607162476], [""SP-3025, S-2021"", ""Preamble"", 0.3324868381023407]]","[[""SP-9050, S-2022"", ""Preamble"", 0.8394606709480286], [""SP-9050, S-2022"", ""Operative"", 0.8349242806434631], [""SP-0944, S-2000"", ""Operative"", 0.5], [""SP-3165 S-2022"", ""Introduction"", 0.44792214035987854], [""SP-3116, S-2022"", ""Preamble"", 0.2943464517593384], [""SP-0983, S-2000"", ""Operative"", 0.26521140336990356], [""SP-8987, S-2022"", ""Operative"", 0.2458079755306244]]"
"What is the implication of including educational institutions in the term ""contractors"" for taxation purposes in Quezon City?","Ano ang magiging epekto ng pagsasama ng mga institusyong pang-edukasyon sa terminong ""kontraktor"" para sa layunin ng pagbubuwis sa Lungsod ng Quezon?","The inclusion of educational institutions in the term ""contractors"" for taxation purposes means that these institutions will now be taxed at the same rate as hospitals under the amended City Ordinance No. SP-1189, S-2002. This change aims to ensure that educational institutions are accorded the same treatment as hospitals in terms of taxation, thereby aligning their tax obligations with those of similar service providers.","SP-1766, S-2007",Preamble,"[[""SP-1766, S-2007"", ""Preamble"", 0.9484743475914001], [""SP-1766, S-2007"", ""Operative"", 0.9233683347702026], [""SP-1766, S-2007"", ""Introduction"", 0.6744627952575684], [""SP-1080, S-2001"", ""Operative"", 0.34577757120132446], [""SP-1086, S-2001"", ""Preamble"", 0.3026919364929199], [""SP-2236, S-2013"", ""Operative"", 0.2903744578361511], [""SP-3108, S-2022"", ""Operative"", 0.2326328158378601]]","[[""SP-1766, S-2007"", ""Preamble"", 1.0], [""SP-1766, S-2007"", ""Operative"", 0.9067885875701904], [""SP-1766, S-2007"", ""Introduction"", 0.6937277317047119], [""SP-3165 S-2022"", ""Introduction"", 0.5547990202903748], [""SP-1086, S-2001"", ""Preamble"", 0.3747151494026184], [""SP-1080, S-2001"", ""Preamble"", 0.3522495627403259], [""SP-0944, S-2000"", ""Operative"", 0.34020453691482544]]","[[""SP-1766, S-2007"", ""Operative"", 0.922288179397583], [""SP-1766, S-2007"", ""Preamble"", 0.7610398530960083], [""SP-3165 S-2022"", ""Introduction"", 0.4306572675704956], [""SP-1766, S-2007"", ""Introduction"", 0.38545289635658264], [""SP-0944, S-2000"", ""Operative"", 0.30082181096076965], [""SP-2236, S-2013"", ""Operative"", 0.27067863941192627], [""SP-8990, S-2022"", ""Introduction"", 0.2367979735136032]]"
What impact might the recognition of Mr. John Raynel Morales' film achievement have on aspiring filmmakers in Quezon City?,Anong epekto ang maaring idulot ng pagkilala sa tagumpay ni Mr. John Raynel Morales sa mga nagsisimulang film maker sa Quezon City?,The recognition of Mr. John Raynel Morales' film achievement serves as an inspiration for aspiring filmmakers to create quality films and share Filipino talent and stories with the world.,"SP-9012, S-2022",Preamble,"[[""SP-9012, S-2022"", ""Operative"", 0.9580371379852295], [""SP-9012, S-2022"", ""Preamble"", 0.8911396265029907], [""SP-9014, S-2022"", ""Operative"", 0.5880112051963806], [""SP-9012, S-2022"", ""Introduction"", 0.30852922797203064], [""SP-9007, S-2022"", ""Introduction"", 0.30728259682655334], [""SP-9008, S-2022"", ""Operative"", 0.3005756437778473], [""SP-7924, S-2019"", ""Introduction"", 0.2942839562892914]]","[[""SP-3165 S-2022"", ""Introduction"", 0.5], [""SP-9012, S-2022"", ""Preamble"", 0.5], [""SP-9012, S-2022"", ""Operative"", 0.4580208659172058], [""SP-0944, S-2000"", ""Operative"", 0.38811200857162476], [""SP-2069, S-2011"", ""Uncategorized"", 0.3271058201789856], [""SP-2834, S-2019"", ""Preamble"", 0.3236273229122162], [""SP-3025, S-2021"", ""Preamble"", 0.27262961864471436]]","[[""SP-9012, S-2022"", ""Operative"", 0.9171808958053589], [""SP-9012, S-2022"", ""Preamble"", 0.8595561981201172], [""SP-3165 S-2022"", ""Introduction"", 0.5], [""SP-0944, S-2000"", ""Operative"", 0.41368257999420166], [""SP-9014, S-2022"", ""Operative"", 0.3937554955482483], [""SP-3098, S-2022"", ""Preamble"", 0.3033006489276886], [""SP-9012, S-2022"", ""Introduction"", 0.29594138264656067]]"
What is the purpose of adopting an Annual Investment Plan (AIP) in Quezon City's fiscal strategy?,Ano ang layunin ng pag-aampon ng Annual Investment Plan (AIP) sa estratehiya ng pananalapi ng Lungsod Quezon?,"The purpose of adopting an Annual Investment Plan (AIP) in Quezon City's fiscal strategy is to manage and financially support the Local Development Plan (LDP) and Local Development Investment Program (LDIP). It ensures that the city's programs and projects align with its development priorities and that the necessary funds are appropriated for their implementation, in accordance with existing laws, rules, and regulations.","SP-9075, S-2022",Preamble,"[[""SP-9075, S-2022"", ""Operative"", 0.9103413820266724], [""SP-9075, S-2022"", ""Preamble"", 0.784987211227417], [""SP-9075, S-2022"", ""Introduction"", 0.7054296135902405], [""SP-3136, S-2022"", ""Preamble"", 0.2937639653682709], [""SP-3140, S-2022"", ""Preamble"", 0.24506548047065735], [""SP-3107, S-2022"", ""Operative"", 0.18775877356529236], [""SP-3139, S-2022"", ""Preamble"", 0.1876385509967804]]","[[""SP-9075, S-2022"", ""Preamble"", 0.757700502872467], [""SP-9075, S-2022"", ""Introduction"", 0.7360344529151917], [""SP-9075, S-2022"", ""Operative"", 0.561440646648407], [""SP-3165 S-2022"", ""Introduction"", 0.5], [""SP-2069, S-2011"", ""Uncategorized"", 0.39249348640441895], [""SP-8999, S-2022"", ""Introduction"", 0.3654674291610718], [""SP-3025, S-2021"", ""Preamble"", 0.3463740348815918]]","[[""SP-9075, S-2022"", ""Operative"", 0.9099703431129456], [""SP-9075, S-2022"", ""Preamble"", 0.8329529762268066], [""SP-9075, S-2022"", ""Introduction"", 0.6346984505653381], [""SP-3098, S-2022"", ""Preamble"", 0.3561129570007324], [""SP-3165 S-2022"", ""Introduction"", 0.24882088601589203], [""SP-2025, S-2010"", ""Preamble"", 0.2358063906431198], [""SP-0944, S-2000"", ""Operative"", 0.23054151237010956]]"
"What are the implications of authorizing a Certificate of Exception for Victory Liner, Inc. regarding local zoning restrictions?","Ano ang mga implikasyon ng pag-awtorisa ng Certificate of Exception para sa Victory Liner, Inc. kaugnay ng mga lokal na zoning restriction?","Authorizing a Certificate of Exception for Victory Liner, Inc. allows the company to construct a three-storey office building at a specified location by deviating from certain restrictions under the Comprehensive Zoning Ordinance of 2016. This implies that while the project does not fully comply with existing zoning rules, it has been determined not to adversely affect public health, safety, and welfare and aligns with the development pattern of the area. This decision is supported by the absence of objections from the local barangay and residents and is contingent upon the company's compliance with public safety, environmental, and traffic regulations.","SP-8980, S-2022",Operative,"[[""SP-8980, S-2022"", ""Introduction"", 1.0], [""SP-8980, S-2022"", ""Operative"", 0.7839363813400269], [""SP-8980, S-2022"", ""Preamble"", 0.6741458177566528], [""SP-8985, S-2022"", ""Preamble"", 0.6281686425209045], [""SP-8985, S-2022"", ""Introduction"", 0.5058255195617676], [""SP-8990, S-2022"", ""Preamble"", 0.5035150051116943], [""SP-8663 S-2021"", ""Introduction"", 0.490725040435791]]","[[""SP-8980, S-2022"", ""Preamble"", 0.5780966877937317], [""SP-8980, S-2022"", ""Introduction"", 0.5593284964561462], [""SP-3166 S-2022"", ""Preamble"", 0.5], [""SP-8985, S-2022"", ""Preamble"", 0.4917989671230316], [""SP-3165 S-2022"", ""Introduction"", 0.4805585741996765], [""SP-8990, S-2022"", ""Introduction"", 0.4430927038192749], [""SP-8980, S-2022"", ""Operative"", 0.41663020849227905]]","[[""SP-8980, S-2022"", ""Introduction"", 0.9747406244277954], [""SP-8980, S-2022"", ""Operative"", 0.9145880341529846], [""SP-8985, S-2022"", ""Introduction"", 0.6738348007202148], [""SP-8663 S-2021"", ""Introduction"", 0.6016035079956055], [""SP-8979, S-2022"", ""Operative"", 0.5502469539642334], [""SP-8980, S-2022"", ""Preamble"", 0.5298856496810913], [""SP-8979, S-2022"", ""Introduction"", 0.5225922465324402]]"
What is the condition for senior citizens and PWDs to use the designated parking spaces in Quezon City-owned establishments?,Ano ang kondisyon para magamit ng mga senior citizen at PWDs ang itinalagang parking spaces sa mga pag-aaring establisimyento ng Lungsod Quezon?,"Senior citizens and persons with disabilities (PWDs) are entitled to use the designated ""Senior Citizens and PWDs Parking Space"" only if they are the ones driving the vehicle that will be parked in the allotted space.","SP-2414, S-2015",Operative,"[[""SP-2414, S-2015"", ""Operative"", 1.0], [""SP-2414, S-2015"", ""Introduction"", 0.7125149965286255], [""SP-2804, S-2018"", ""Operative"", 0.6454392075538635], [""SP-2414, S-2015"", ""Preamble"", 0.5269913673400879], [""SP-3234, S-2023"", ""Operative"", 0.4867432713508606]]","[[""SP-2414, S-2015"", ""Introduction"", 0.7323393821716309], [""SP-2414, S-2015"", ""Preamble"", 0.5882275104522705], [""SP-2414, S-2015"", ""Operative"", 0.5], [""SP-3165 S-2022"", ""Introduction"", 0.4524361789226532], [""SP-3234, S-2023"", ""Introduction"", 0.36575978994369507], [""SP-2804, S-2018"", ""Operative"", 0.3148685395717621], [""SP-2598, S-2017"", ""Preamble"", 0.28675612807273865]]","[[""SP-2414, S-2015"", ""Operative"", 0.8967015743255615], [""SP-2414, S-2015"", ""Introduction"", 0.7142676115036011], [""SP-3234, S-2023"", ""Operative"", 0.6188725233078003], [""SP-2414, S-2015"", ""Preamble"", 0.5188511610031128], [""SP-3165 S-2022"", ""Introduction"", 0.4095648229122162], [""SP-0944, S-2000"", ""Operative"", 0.3331180810928345], [""SP-2804, S-2018"", ""Operative"", 0.3132067024707794]]"
What authority does the City Mayor have regarding the enforcement of curfew hours in Quezon City as outlined in the ordinance?,Anong awtoridad ang mayroon ang Alkalde ng Lungsod patungkol sa pagpapatupad ng mga oras ng curfew sa Quezon City ayon sa ordinansa?,"The City Mayor is granted the authority to suspend the enforcement of the curfew ordinance and has the power to reinstate it if there is a surge in COVID-19 cases. The Mayor can reimpose the curfew for times recommended by the Metro Manila Council or as deemed reasonable under the circumstances. Additionally, the Mayor is authorized to declare or impose other emergency measures necessary to quickly address the public health emergency, in accordance with applicable laws and regulations.","SP-3061, S-2021",Operative,"[[""SP-3061, S-2021"", ""Operative"", 0.9658271074295044], [""SP-3061, S-2021"", ""Introduction"", 0.7170654535293579], [""SP-3102, S-2022"", ""Operative"", 0.6944528818130493], [""SP-3165 S-2022"", ""Operative"", 0.5790821313858032], [""SP-3061, S-2021"", ""Preamble"", 0.571027934551239], [""SP-3103, S-2022"", ""Operative"", 0.5218000411987305], [""SP-3102, S-2022"", ""Introduction"", 0.5188486576080322]]","[[""SP-3061, S-2021"", ""Preamble"", 0.701067328453064], [""SP-3165 S-2022"", ""Introduction"", 0.5], [""SP-3061, S-2021"", ""Operative"", 0.47397086024284363], [""SP-3061, S-2021"", ""Introduction"", 0.4158938229084015], [""SP-3025, S-2021"", ""Preamble"", 0.30719366669654846], [""SP-0944, S-2000"", ""Operative"", 0.2903783619403839], [""SP-2373, S-2014"", ""Operative"", 0.27952611446380615]]","[[""SP-3061, S-2021"", ""Operative"", 0.5028340816497803], [""SP-3061, S-2021"", ""Preamble"", 0.5], [""SP-3165 S-2022"", ""Introduction"", 0.5], [""SP-0944, S-2000"", ""Operative"", 0.4602285623550415], [""SP-2373, S-2014"", ""Operative"", 0.3141860067844391], [""SP-3165 S-2022"", ""Operative"", 0.27638766169548035], [""SP-3234, S-2023"", ""Operative"", 0.250486820936203]]"
What is the responsibility of the Tricycle Regulation Division as outlined in this ordinance?,Ano ang responsibilidad ng Tricycle Regulation Division ayon sa ordinansyang ito?,The Tricycle Regulation Division is tasked with ensuring the strict implementation of the ordinance and is granted plenary powers and authority to carry out its provisions.,"SP-3083, S-2021",Operative,"[[""SP-3083, S-2021"", ""Operative"", 0.9241468906402588], [""SP-2514, S-2016"", ""Operative"", 0.7035319805145264], [""SP-2373, S-2014"", ""Operative"", 0.6942719221115112], [""SP-1917, S-2009"", ""Operative"", 0.6604843735694885], [""SP-3083, S-2021"", ""Preamble"", 0.5900741815567017], [""SP-2514, S-2016"", ""Introduction"", 0.5473890900611877]]","[[""SP-3083, S-2021"", ""Operative"", 0.5], [""SP-3166 S-2022"", ""Preamble"", 0.5], [""SP-3165 S-2022"", ""Introduction"", 0.44687095284461975], [""SP-3163, S-2022"", ""Preamble"", 0.4453074634075165], [""SP-2514, S-2016"", ""Introduction"", 0.4061550796031952], [""SP-8990, S-2022"", ""Introduction"", 0.3819010853767395], [""SP-3083, S-2021"", ""Preamble"", 0.2856810390949249]]","[[""SP-3083, S-2021"", ""Operative"", 0.6537399291992188], [""SP-3165 S-2022"", ""Introduction"", 0.5], [""SP-2522, S-2016"", ""Operative"", 0.4710102379322052], [""SP-2997, S-2021"", ""Operative"", 0.35713285207748413], [""SP-2514, S-2016"", ""Operative"", 0.3271576762199402], [""SP-3163, S-2022"", ""Preamble"", 0.32531365752220154], [""SP-2695, S-2018"", ""Operative"", 0.3076320290565491]]"
