Question_EN,Question_TL,Answer,Source,Category,BAAI_documents_retrieved,snowflake_documents_retrieved,multilingual_documents_retrieved
What are the implications of converting an existing high school annex into a separate and independent high school in terms of administration and resource management?,Ano ang mga implikasyon ng pag-convert ng umiiral na annex ng paaralan sa isang hiwalay at independiyenteng mataas na paaralan sa aspeto ng administrasyon at pamamahala ng mga mapagkukunan?,"Converting an existing high school annex into a separate and independent high school involves transferring all assets, personnel, and records from the annex to the new independent school. This change means that the newly established high school will manage its own administration, resources, and operations independently from the original school. The transition is facilitated by maintaining the employment security of the current teaching and non-teaching staff as outlined by existing laws. Additionally, the city mayor is authorized to allocate necessary funds for the proper implementation and operation of the newly independent high school.","SP-3035, S-2021",Operative,"[[""SP-3035, S-2021"", ""Operative"", 0.9880943298339844], [""SP-3035, S-2021"", ""Preamble"", 0.8390265703201294], [""SP-3035, S-2021"", ""Introduction"", 0.6743613481521606], [""SP-3072, S-2021"", ""Operative"", 0.5190303921699524], [""SP-3111, S-2022"", ""Operative"", 0.47347596287727356], [""SP-3072, S-2021"", ""Preamble"", 0.45288538932800293], [""SP-3111, S-2022"", ""Preamble"", 0.45198845863342285]]","[[""SP-3035, S-2021"", ""Preamble"", 0.5], [""SP-3165 S-2022"", ""Introduction"", 0.5], [""SP-3035, S-2021"", ""Operative"", 0.4881206452846527], [""SP-3035, S-2021"", ""Introduction"", 0.48017796874046326], [""SP-3166 S-2022"", ""Preamble"", 0.47175881266593933], [""SP-2445, S-2015"", ""Preamble"", 0.4210556149482727], [""SP-8990, S-2022"", ""Introduction"", 0.40042999386787415]]","[[""SP-3035, S-2021"", ""Preamble"", 0.5777038931846619], [""SP-3035, S-2021"", ""Introduction"", 0.5032415986061096], [""SP-3011, S-2021"", ""Operative"", 0.5], [""SP-3035, S-2021"", ""Operative"", 0.47872552275657654], [""SP-3114, S-2022"", ""Operative"", 0.4596741795539856], [""SP-3099, S-2022"", ""Operative"", 0.4000580906867981], [""SP-3111, S-2022"", ""Introduction"", 0.38655003905296326]]"
"What assistance will the OFWs' Help Desk provide to families of distressed and displaced OFWs, particularly economically handicapped parents and minor children?","Anong tulong ang ibibigay ng OFWs' Help Desk sa mga pamilya ng mga distressed at displaced OFWs, partikular sa mga magulang na kulang sa pinansyal at menor-de-edad na mga anak?","The OFWs' Help Desk will provide assistance to families of distressed and displaced OFWs, particularly to their economically handicapped parents and minor children. This assistance can include efforts for employment assistance, protecting the welfare of the families, and facilitating economic productivity through investment or enterprise development initiatives with relevant Quezon City offices.","SP-3336, S-2024",Operative,"[[""SP-3336, S-2024"", ""Operative"", 1.0], [""SP-3336, S-2024"", ""Preamble"", 0.6649931073188782], [""SP-3299, S-2024"", ""Operative"", 0.3054732382297516], [""SP-3299, S-2024"", ""Operative"", 0.25083279609680176]]","[[""SP-3336, S-2024"", ""Preamble"", 0.696637749671936], [""SP-3336, S-2024"", ""Operative"", 0.6851438283920288], [""SP-8990, S-2022"", ""Introduction"", 0.5], [""SP-2445, S-2015"", ""Preamble"", 0.41268038749694824], [""SP-3166 S-2022"", ""Preamble"", 0.39699751138687134]]","[[""SP-3336, S-2024"", ""Operative"", 0.8499188423156738], [""SP-3336, S-2024"", ""Preamble"", 0.778814435005188], [""SP-3299, S-2024"", ""Operative"", 0.39045530557632446]]"
What happens if the Farmers Market fails to comply with the conditions of its franchise granted by the Quezon City Council?,Ano ang mangyayari kung hindi makasunod ang Farmers Market sa mga kondisyon ng prangkisang ibinigay ng Konseho ng Lungsod ng Quezon?,"If the Farmers Market fails to comply with the conditions of its franchise or continuously violates the Revised Quezon City Market Code, Quezon City Revenue Code, and other applicable laws, rules, and regulations, it may have its franchise revoked or withdrawn by the City Government, after the observance of due process.","SP-9050, S-2022",Preamble,"[[""SP-9050, S-2022"", ""Operative"", 0.92303466796875], [""SP-9050, S-2022"", ""Preamble"", 0.897534966468811], [""SP-9050, S-2022"", ""Introduction"", 0.46309319138526917], [""SP-3116, S-2022"", ""Operative"", 0.4256044030189514], [""SP-0983, S-2000"", ""Introduction"", 0.35165172815322876], [""SP-0944, S-2000"", ""Introduction"", 0.2994084060192108], [""SP-2139, S-2012"", ""Signature"", 0.29779455065727234]]","[[""SP-9050, S-2022"", ""Preamble"", 0.5840360522270203], [""SP-3165 S-2022"", ""Introduction"", 0.5], [""SP-9050, S-2022"", ""Operative"", 0.42313647270202637], [""SP-3116, S-2022"", ""Preamble"", 0.41861996054649353], [""SP-2445, S-2015"", ""Preamble"", 0.3497608006000519], [""SP-0944, S-2000"", ""Introduction"", 0.3492177426815033], [""SP-9050, S-2022"", ""Introduction"", 0.32899409532546997]]","[[""SP-9050, S-2022"", ""Operative"", 0.5649170875549316], [""SP-9050, S-2022"", ""Preamble"", 0.5124590396881104], [""SP-0944, S-2000"", ""Operative"", 0.5], [""SP-8971, S-2022"", ""Preamble"", 0.5], [""SP-3011, S-2021"", ""Operative"", 0.49276188015937805], [""SP-3099, S-2022"", ""Operative"", 0.46131330728530884], [""SP-3165 S-2022"", ""Introduction"", 0.4372337758541107]]"
"What is the implication of including educational institutions in the term ""contractors"" for taxation purposes in Quezon City?","Ano ang magiging epekto ng pagsasama ng mga institusyong pang-edukasyon sa terminong ""kontraktor"" para sa layunin ng pagbubuwis sa Lungsod ng Quezon?","The inclusion of educational institutions in the term ""contractors"" for taxation purposes means that these institutions will now be taxed at the same rate as hospitals under the amended City Ordinance No. SP-1189, S-2002. This change aims to ensure that educational institutions are accorded the same treatment as hospitals in terms of taxation, thereby aligning their tax obligations with those of similar service providers.","SP-1766, S-2007",Preamble,"[[""SP-1766, S-2007"", ""Preamble"", 0.9584540128707886], [""SP-1766, S-2007"", ""Operative"", 0.8806976079940796], [""SP-1766, S-2007"", ""Introduction"", 0.7193335890769958], [""SP-2236, S-2013"", ""Operative"", 0.29164764285087585], [""SP-3108, S-2022"", ""Operative"", 0.2461269050836563], [""SP-3021, S-2021"", ""Preamble"", 0.2242421805858612], [""SP-1080, S-2001"", ""Operative"", 0.22037038207054138]]","[[""SP-1766, S-2007"", ""Preamble"", 0.9474209547042847], [""SP-1766, S-2007"", ""Operative"", 0.8522844314575195], [""SP-3165 S-2022"", ""Introduction"", 0.5577456951141357], [""SP-1766, S-2007"", ""Introduction"", 0.5573700666427612], [""SP-0944, S-2000"", ""Operative"", 0.36565080285072327], [""SP-1080, S-2001"", ""Preamble"", 0.35528334975242615], [""SP-2445, S-2015"", ""Preamble"", 0.3283224105834961]]","[[""SP-1766, S-2007"", ""Operative"", 0.5], [""SP-3114, S-2022"", ""Operative"", 0.5], [""SP-8971, S-2022"", ""Preamble"", 0.42256686091423035], [""SP-3011, S-2021"", ""Operative"", 0.3662043809890747], [""SP-0944, S-2000"", ""Operative"", 0.34642693400382996], [""SP-3165 S-2022"", ""Introduction"", 0.34399235248565674], [""SP-3099, S-2022"", ""Operative"", 0.34288734197616577]]"
What impact might the recognition of Mr. John Raynel Morales' film achievement have on aspiring filmmakers in Quezon City?,Anong epekto ang maaring idulot ng pagkilala sa tagumpay ni Mr. John Raynel Morales sa mga nagsisimulang film maker sa Quezon City?,The recognition of Mr. John Raynel Morales' film achievement serves as an inspiration for aspiring filmmakers to create quality films and share Filipino talent and stories with the world.,"SP-9012, S-2022",Preamble,"[[""SP-9012, S-2022"", ""Operative"", 0.9812494516372681], [""SP-9012, S-2022"", ""Preamble"", 0.7995957136154175], [""SP-9014, S-2022"", ""Operative"", 0.5079441070556641], [""SP-7924, S-2019"", ""Introduction"", 0.41525501012802124], [""SP-9008, S-2022"", ""Preamble"", 0.3101647198200226], [""SP-9008, S-2022"", ""Operative"", 0.2955434322357178], [""SP-9007, S-2022"", ""Introduction"", 0.28387871384620667]]","[[""SP-3165 S-2022"", ""Introduction"", 0.5], [""SP-9012, S-2022"", ""Operative"", 0.5], [""SP-0944, S-2000"", ""Operative"", 0.4174885153770447], [""SP-9012, S-2022"", ""Preamble"", 0.40681901574134827], [""SP-3025, S-2021"", ""Preamble"", 0.38791918754577637], [""SP-2069, S-2011"", ""Uncategorized"", 0.3502025008201599], [""SP-2834, S-2019"", ""Preamble"", 0.3154747486114502]]","[[""SP-9012, S-2022"", ""Operative"", 0.9783595204353333], [""SP-9012, S-2022"", ""Preamble"", 0.7637920379638672], [""SP-3165 S-2022"", ""Introduction"", 0.5], [""SP-9014, S-2022"", ""Operative"", 0.46058353781700134], [""SP-0944, S-2000"", ""Operative"", 0.4465691149234772], [""SP-2025, S-2010"", ""Preamble"", 0.3320787250995636], [""SP-3098, S-2022"", ""Preamble"", 0.32620784640312195]]"
What is the purpose of adopting an Annual Investment Plan (AIP) in Quezon City's fiscal strategy?,Ano ang layunin ng pag-aampon ng Annual Investment Plan (AIP) sa estratehiya ng pananalapi ng Lungsod Quezon?,"The purpose of adopting an Annual Investment Plan (AIP) in Quezon City's fiscal strategy is to manage and financially support the Local Development Plan (LDP) and Local Development Investment Program (LDIP). It ensures that the city's programs and projects align with its development priorities and that the necessary funds are appropriated for their implementation, in accordance with existing laws, rules, and regulations.","SP-9075, S-2022",Preamble,"[[""SP-9075, S-2022"", ""Operative"", 0.8605698347091675], [""SP-9075, S-2022"", ""Preamble"", 0.7855678796768188], [""SP-9075, S-2022"", ""Introduction"", 0.6526311039924622], [""SP-3140, S-2022"", ""Preamble"", 0.2155688852071762], [""SP-3107, S-2022"", ""Operative"", 0.17668211460113525], [""SP-3139, S-2022"", ""Preamble"", 0.17503972351551056], [""SP-3136, S-2022"", ""Preamble"", 0.1721731722354889]]","[[""SP-9075, S-2022"", ""Preamble"", 0.748146653175354], [""SP-9075, S-2022"", ""Introduction"", 0.6274535655975342], [""SP-3165 S-2022"", ""Introduction"", 0.5], [""SP-9075, S-2022"", ""Operative"", 0.42683476209640503], [""SP-8999, S-2022"", ""Introduction"", 0.41043829917907715], [""SP-2069, S-2011"", ""Uncategorized"", 0.3756908178329468], [""SP-2445, S-2015"", ""Preamble"", 0.33327633142471313]]","[[""SP-9075, S-2022"", ""Preamble"", 0.8715611696243286], [""SP-9075, S-2022"", ""Operative"", 0.8321336507797241], [""SP-9075, S-2022"", ""Introduction"", 0.5333322286605835], [""SP-3099, S-2022"", ""Operative"", 0.5], [""SP-8971, S-2022"", ""Preamble"", 0.43852508068084717], [""SP-3114, S-2022"", ""Operative"", 0.40367257595062256], [""SP-3011, S-2021"", ""Operative"", 0.36508694291114807]]"
"What are the implications of authorizing a Certificate of Exception for Victory Liner, Inc. regarding local zoning restrictions?","Ano ang mga implikasyon ng pag-awtorisa ng Certificate of Exception para sa Victory Liner, Inc. kaugnay ng mga lokal na zoning restriction?","Authorizing a Certificate of Exception for Victory Liner, Inc. allows the company to construct a three-storey office building at a specified location by deviating from certain restrictions under the Comprehensive Zoning Ordinance of 2016. This implies that while the project does not fully comply with existing zoning rules, it has been determined not to adversely affect public health, safety, and welfare and aligns with the development pattern of the area. This decision is supported by the absence of objections from the local barangay and residents and is contingent upon the company's compliance with public safety, environmental, and traffic regulations.","SP-8980, S-2022",Operative,"[[""SP-8980, S-2022"", ""Introduction"", 1.0], [""SP-8980, S-2022"", ""Operative"", 0.7741014957427979], [""SP-8980, S-2022"", ""Preamble"", 0.686129093170166], [""SP-8985, S-2022"", ""Preamble"", 0.6059607863426208], [""SP-8979, S-2022"", ""Introduction"", 0.5061866044998169], [""SP-8663 S-2021"", ""Introduction"", 0.48341912031173706], [""SP-8990, S-2022"", ""Preamble"", 0.48249632120132446]]","[[""SP-8980, S-2022"", ""Introduction"", 0.5647533535957336], [""SP-8980, S-2022"", ""Preamble"", 0.534763514995575], [""SP-3166 S-2022"", ""Preamble"", 0.5], [""SP-8990, S-2022"", ""Introduction"", 0.48827284574508667], [""SP-8985, S-2022"", ""Preamble"", 0.4659724831581116], [""SP-3165 S-2022"", ""Introduction"", 0.4457431435585022], [""SP-8980, S-2022"", ""Operative"", 0.4166490435600281]]","[[""SP-8980, S-2022"", ""Operative"", 0.9307138919830322], [""SP-8980, S-2022"", ""Introduction"", 0.888129711151123], [""SP-8980, S-2022"", ""Preamble"", 0.6811033487319946], [""SP-8985, S-2022"", ""Preamble"", 0.6385353803634644], [""SP-8985, S-2022"", ""Introduction"", 0.5829610824584961], [""Sp-8694, s-2021"", ""Preamble"", 0.5606366395950317], [""SP-8979, S-2022"", ""Operative"", 0.5585852861404419]]"
What is the condition for senior citizens and PWDs to use the designated parking spaces in Quezon City-owned establishments?,Ano ang kondisyon para magamit ng mga senior citizen at PWDs ang itinalagang parking spaces sa mga pag-aaring establisimyento ng Lungsod Quezon?,"Senior citizens and persons with disabilities (PWDs) are entitled to use the designated ""Senior Citizens and PWDs Parking Space"" only if they are the ones driving the vehicle that will be parked in the allotted space.","SP-2414, S-2015",Operative,"[[""SP-2414, S-2015"", ""Operative"", 1.0], [""SP-2414, S-2015"", ""Introduction"", 0.6935979127883911], [""SP-2804, S-2018"", ""Operative"", 0.6148207187652588], [""SP-2414, S-2015"", ""Preamble"", 0.5936026573181152], [""SP-3234, S-2023"", ""Operative"", 0.4891899824142456]]","[[""SP-2414, S-2015"", ""Introduction"", 0.7228780388832092], [""SP-2414, S-2015"", ""Preamble"", 0.6204603910446167], [""SP-2414, S-2015"", ""Operative"", 0.5], [""SP-3165 S-2022"", ""Introduction"", 0.4697446823120117], [""SP-3234, S-2023"", ""Introduction"", 0.3220823109149933], [""SP-2804, S-2018"", ""Operative"", 0.3114660978317261], [""SP-3041, S-2021"", ""Preamble"", 0.253355473279953]]","[[""SP-2414, S-2015"", ""Operative"", 0.8313323259353638], [""SP-2414, S-2015"", ""Introduction"", 0.7128193378448486], [""SP-2414, S-2015"", ""Preamble"", 0.618264377117157], [""SP-3234, S-2023"", ""Operative"", 0.5778308510780334], [""SP-3011, S-2021"", ""Operative"", 0.4072897732257843], [""SP-8971, S-2022"", ""Preamble"", 0.3855237066745758]]"
What authority does the City Mayor have regarding the enforcement of curfew hours in Quezon City as outlined in the ordinance?,Anong awtoridad ang mayroon ang Alkalde ng Lungsod patungkol sa pagpapatupad ng mga oras ng curfew sa Quezon City ayon sa ordinansa?,"The City Mayor is granted the authority to suspend the enforcement of the curfew ordinance and has the power to reinstate it if there is a surge in COVID-19 cases. The Mayor can reimpose the curfew for times recommended by the Metro Manila Council or as deemed reasonable under the circumstances. Additionally, the Mayor is authorized to declare or impose other emergency measures necessary to quickly address the public health emergency, in accordance with applicable laws and regulations.","SP-3061, S-2021",Operative,"[[""SP-3061, S-2021"", ""Preamble"", 0.694253146648407], [""SP-3061, S-2021"", ""Operative"", 0.6852001547813416], [""SP-3165 S-2022"", ""Operative"", 0.6174287796020508], [""SP-8989, S-2022"", ""Preamble"", 0.5818036794662476], [""SP-3061, S-2021"", ""Introduction"", 0.5678786039352417], [""SP-3102, S-2022"", ""Operative"", 0.5034580826759338], [""SP-3174, S-2023"", ""Operative"", 0.4626440405845642]]","[[""SP-3061, S-2021"", ""Preamble"", 0.6794344186782837], [""SP-3165 S-2022"", ""Introduction"", 0.5], [""SP-3061, S-2021"", ""Introduction"", 0.47599485516548157], [""SP-3061, S-2021"", ""Operative"", 0.443962961435318], [""SP-3165 S-2022"", ""Operative"", 0.3354169428348541], [""SP-3102, S-2022"", ""Introduction"", 0.3136127293109894], [""SP-3234, S-2023"", ""Operative"", 0.304663747549057]]","[[""SP-3114, S-2022"", ""Operative"", 0.5], [""SP-3165 S-2022"", ""Introduction"", 0.5], [""SP-8971, S-2022"", ""Preamble"", 0.48375195264816284], [""SP-0944, S-2000"", ""Operative"", 0.3969949185848236], [""SP-3011, S-2021"", ""Operative"", 0.32187822461128235], [""SP-3099, S-2022"", ""Operative"", 0.2787708044052124], [""SP-3160, S-2022"", ""Operative"", 0.2390568107366562]]"
What is the responsibility of the Tricycle Regulation Division as outlined in this ordinance?,Ano ang responsibilidad ng Tricycle Regulation Division ayon sa ordinansyang ito?,The Tricycle Regulation Division is tasked with ensuring the strict implementation of the ordinance and is granted plenary powers and authority to carry out its provisions.,"SP-3083, S-2021",Operative,"[[""SP-3083, S-2021"", ""Operative"", 0.8705127239227295], [""SP-2373, S-2014"", ""Operative"", 0.689166784286499], [""SP-2514, S-2016"", ""Operative"", 0.675879955291748], [""SP-1917, S-2009"", ""Operative"", 0.6463013291358948], [""SP-3083, S-2021"", ""Preamble"", 0.6144847869873047]]","[[""SP-3083, S-2021"", ""Operative"", 0.5], [""SP-3166 S-2022"", ""Preamble"", 0.5], [""SP-3163, S-2022"", ""Preamble"", 0.46411311626434326], [""SP-8990, S-2022"", ""Introduction"", 0.4417397081851959], [""SP-3165 S-2022"", ""Introduction"", 0.44039157032966614], [""SP-2514, S-2016"", ""Introduction"", 0.39029932022094727], [""SP-0944, S-2000"", ""Operative"", 0.3085342049598694]]","[[""SP-3083, S-2021"", ""Operative"", 0.7780419588088989], [""SP-3165 S-2022"", ""Introduction"", 0.5], [""SP-2522, S-2016"", ""Operative"", 0.32448533177375793], [""SP-8971, S-2022"", ""Preamble"", 0.30659183859825134], [""SP-3083, S-2021"", ""Preamble"", 0.30185467004776], [""SP-2514, S-2016"", ""Introduction"", 0.2727024257183075], [""SP-3114, S-2022"", ""Operative"", 0.2656516134738922]]"
