Question_EN,Question_TL,Answer,Source,Category,BAAI_documents_retrieved_0.3,BAAI_documents_retrieved_0.5,BAAI_documents_retrieved_0.7
What are the implications of converting an existing high school annex into a separate and independent high school in terms of administration and resource management?,Ano ang mga implikasyon ng pag-convert ng umiiral na annex ng paaralan sa isang hiwalay at independiyenteng mataas na paaralan sa aspeto ng administrasyon at pamamahala ng mga mapagkukunan?,"Converting an existing high school annex into a separate and independent high school involves transferring all assets, personnel, and records from the annex to the new independent school. This change means that the newly established high school will manage its own administration, resources, and operations independently from the original school. The transition is facilitated by maintaining the employment security of the current teaching and non-teaching staff as outlined by existing laws. Additionally, the city mayor is authorized to allocate necessary funds for the proper implementation and operation of the newly independent high school.","SP-3035, S-2021",Operative,"[[""SP-3035, S-2021"", ""Operative"", 0.9819372296333313], [""SP-3035, S-2021"", ""Preamble"", 0.8968971371650696], [""SP-3035, S-2021"", ""Introduction"", 0.637233555316925], [""SP-3072, S-2021"", ""Operative"", 0.5311166048049927], [""SP-3072, S-2021"", ""Preamble"", 0.49266642332077026], [""SP-2834, S-2019"", ""Operative"", 0.4040059447288513], [""SP-3111, S-2022"", ""Operative"", 0.32941505312919617]]","[[""SP-3035, S-2021"", ""Operative"", 0.987097978591919], [""SP-3035, S-2021"", ""Preamble"", 0.8281619548797607], [""SP-3035, S-2021"", ""Introduction"", 0.6998270750045776], [""SP-3072, S-2021"", ""Operative"", 0.56728595495224], [""SP-3072, S-2021"", ""Preamble"", 0.45450401306152344], [""SP-3111, S-2022"", ""Operative"", 0.44534340500831604], [""SP-3111, S-2022"", ""Preamble"", 0.4098028242588043]]","[[""SP-3035, S-2021"", ""Operative"", 0.9922587871551514], [""SP-3035, S-2021"", ""Introduction"", 0.7624205946922302], [""SP-3035, S-2021"", ""Preamble"", 0.7594267129898071], [""SP-3072, S-2021"", ""Operative"", 0.6034553050994873], [""SP-3111, S-2022"", ""Operative"", 0.5612717270851135], [""SP-3111, S-2022"", ""Preamble"", 0.49381938576698303], [""SP-3072, S-2021"", ""Preamble"", 0.4163416624069214]]"
"What assistance will the OFWs' Help Desk provide to families of distressed and displaced OFWs, particularly economically handicapped parents and minor children?","Anong tulong ang ibibigay ng OFWs' Help Desk sa mga pamilya ng mga distressed at displaced OFWs, partikular sa mga magulang na kulang sa pinansyal at menor-de-edad na mga anak?","The OFWs' Help Desk will provide assistance to families of distressed and displaced OFWs, particularly to their economically handicapped parents and minor children. This assistance can include efforts for employment assistance, protecting the welfare of the families, and facilitating economic productivity through investment or enterprise development initiatives with relevant Quezon City offices.","SP-3336, S-2024",Operative,"[[""SP-3336, S-2024"", ""Operative"", 1.0], [""SP-3336, S-2024"", ""Preamble"", 0.5349279046058655], [""SP-3299, S-2024"", ""Operative"", 0.2497144341468811]]","[[""SP-3336, S-2024"", ""Operative"", 1.0], [""SP-3336, S-2024"", ""Preamble"", 0.6169277429580688], [""SP-3299, S-2024"", ""Operative"", 0.30297064781188965], [""SP-3299, S-2024"", ""Operative"", 0.24079054594039917]]","[[""SP-3336, S-2024"", ""Operative"", 1.0], [""SP-3336, S-2024"", ""Preamble"", 0.6989275813102722], [""SP-3299, S-2024"", ""Operative"", 0.3562268316745758], [""SP-3299, S-2024"", ""Operative"", 0.32129061222076416]]"
What happens if the Farmers Market fails to comply with the conditions of its franchise granted by the Quezon City Council?,Ano ang mangyayari kung hindi makasunod ang Farmers Market sa mga kondisyon ng prangkisang ibinigay ng Konseho ng Lungsod ng Quezon?,"If the Farmers Market fails to comply with the conditions of its franchise or continuously violates the Revised Quezon City Market Code, Quezon City Revenue Code, and other applicable laws, rules, and regulations, it may have its franchise revoked or withdrawn by the City Government, after the observance of due process.","SP-9050, S-2022",Preamble,"[[""SP-9050, S-2022"", ""Preamble"", 0.9086465835571289], [""SP-9050, S-2022"", ""Operative"", 0.8720389008522034], [""SP-3116, S-2022"", ""Operative"", 0.44301456212997437], [""SP-9050, S-2022"", ""Introduction"", 0.38678398728370667], [""SP-2514, S-2016"", ""Operative"", 0.2362227439880371], [""SP-0983, S-2000"", ""Introduction"", 0.22416965663433075]]","[[""SP-9050, S-2022"", ""Operative"", 0.9085992574691772], [""SP-9050, S-2022"", ""Preamble"", 0.847744345664978], [""SP-3116, S-2022"", ""Operative"", 0.49402931332588196], [""SP-9050, S-2022"", ""Introduction"", 0.47557324171066284], [""SP-0983, S-2000"", ""Introduction"", 0.31739699840545654], [""SP-3160, S-2022"", ""Operative"", 0.26735055446624756]]","[[""SP-9050, S-2022"", ""Operative"", 0.9451595544815063], [""SP-9050, S-2022"", ""Preamble"", 0.7868420481681824], [""SP-9050, S-2022"", ""Introduction"", 0.5643624663352966], [""SP-3116, S-2022"", ""Operative"", 0.5450440645217896], [""SP-0983, S-2000"", ""Introduction"", 0.4106243848800659], [""SP-3044, S-2021"", ""Operative"", 0.3368592858314514], [""SP-3160, S-2022"", ""Operative"", 0.3317272365093231]]"
"What is the implication of including educational institutions in the term ""contractors"" for taxation purposes in Quezon City?","Ano ang magiging epekto ng pagsasama ng mga institusyong pang-edukasyon sa terminong ""kontraktor"" para sa layunin ng pagbubuwis sa Lungsod ng Quezon?","The inclusion of educational institutions in the term ""contractors"" for taxation purposes means that these institutions will now be taxed at the same rate as hospitals under the amended City Ordinance No. SP-1189, S-2002. This change aims to ensure that educational institutions are accorded the same treatment as hospitals in terms of taxation, thereby aligning their tax obligations with those of similar service providers.","SP-1766, S-2007",Preamble,"[[""SP-1766, S-2007"", ""Preamble"", 0.969084620475769], [""SP-1766, S-2007"", ""Operative"", 0.8927156925201416], [""SP-1766, S-2007"", ""Introduction"", 0.6825724244117737], [""SP-1080, S-2001"", ""Operative"", 0.34021154046058655], [""SP-1086, S-2001"", ""Preamble"", 0.3105020523071289], [""SP-2236, S-2013"", ""Operative"", 0.28203633427619934], [""SP-2860, S-2019"", ""Operative"", 0.1930762231349945]]","[[""SP-1766, S-2007"", ""Preamble"", 0.9484743475914001], [""SP-1766, S-2007"", ""Operative"", 0.9233683347702026], [""SP-1766, S-2007"", ""Introduction"", 0.6744627952575684], [""SP-1080, S-2001"", ""Operative"", 0.34577757120132446], [""SP-1086, S-2001"", ""Preamble"", 0.3026919364929199], [""SP-2236, S-2013"", ""Operative"", 0.2903744578361511], [""SP-3108, S-2022"", ""Operative"", 0.2326328158378601]]","[[""SP-1766, S-2007"", ""Operative"", 0.9540209770202637], [""SP-1766, S-2007"", ""Preamble"", 0.9278640747070312], [""SP-1766, S-2007"", ""Introduction"", 0.666353166103363], [""SP-1080, S-2001"", ""Operative"", 0.35134357213974], [""SP-3108, S-2022"", ""Operative"", 0.3001515567302704], [""SP-2236, S-2013"", ""Operative"", 0.2987125813961029], [""SP-1086, S-2001"", ""Preamble"", 0.2948818504810333]]"
What impact might the recognition of Mr. John Raynel Morales' film achievement have on aspiring filmmakers in Quezon City?,Anong epekto ang maaring idulot ng pagkilala sa tagumpay ni Mr. John Raynel Morales sa mga nagsisimulang film maker sa Quezon City?,The recognition of Mr. John Raynel Morales' film achievement serves as an inspiration for aspiring filmmakers to create quality films and share Filipino talent and stories with the world.,"SP-9012, S-2022",Preamble,"[[""SP-9012, S-2022"", ""Operative"", 0.9412520527839661], [""SP-9012, S-2022"", ""Preamble"", 0.9346837401390076], [""SP-9014, S-2022"", ""Operative"", 0.4878450632095337], [""SP-9014, S-2022"", ""Preamble"", 0.35089004039764404], [""SP-9012, S-2022"", ""Introduction"", 0.33235806226730347], [""SP-9008, S-2022"", ""Operative"", 0.21219664812088013], [""SP-9014, S-2022"", ""Introduction"", 0.18540826439857483]]","[[""SP-9012, S-2022"", ""Operative"", 0.9580371379852295], [""SP-9012, S-2022"", ""Preamble"", 0.8911396265029907], [""SP-9014, S-2022"", ""Operative"", 0.5880112051963806], [""SP-9012, S-2022"", ""Introduction"", 0.30852922797203064], [""SP-9007, S-2022"", ""Introduction"", 0.30728259682655334], [""SP-9008, S-2022"", ""Operative"", 0.3005756437778473], [""SP-7924, S-2019"", ""Introduction"", 0.2942839562892914]]","[[""SP-9012, S-2022"", ""Operative"", 0.9748222827911377], [""SP-9012, S-2022"", ""Preamble"", 0.8475954532623291], [""SP-9014, S-2022"", ""Operative"", 0.6881773471832275], [""SP-9007, S-2022"", ""Introduction"", 0.4301956295967102], [""SP-7924, S-2019"", ""Introduction"", 0.411997526884079], [""SP-9008, S-2022"", ""Operative"", 0.38895466923713684], [""SP-3044, S-2021"", ""Introduction"", 0.3470865786075592]]"
What is the purpose of adopting an Annual Investment Plan (AIP) in Quezon City's fiscal strategy?,Ano ang layunin ng pag-aampon ng Annual Investment Plan (AIP) sa estratehiya ng pananalapi ng Lungsod Quezon?,"The purpose of adopting an Annual Investment Plan (AIP) in Quezon City's fiscal strategy is to manage and financially support the Local Development Plan (LDP) and Local Development Investment Program (LDIP). It ensures that the city's programs and projects align with its development priorities and that the necessary funds are appropriated for their implementation, in accordance with existing laws, rules, and regulations.","SP-9075, S-2022",Preamble,"[[""SP-9075, S-2022"", ""Operative"", 0.8744779229164124], [""SP-9075, S-2022"", ""Preamble"", 0.8709923028945923], [""SP-9075, S-2022"", ""Introduction"", 0.6121298670768738], [""SP-3136, S-2022"", ""Preamble"", 0.27287557721138], [""SP-3107, S-2022"", ""Operative"", 0.18949665129184723], [""SP-3140, S-2022"", ""Preamble"", 0.18903103470802307], [""SP-3157, S-2022"", ""Operative"", 0.17820100486278534]]","[[""SP-9075, S-2022"", ""Operative"", 0.9103413820266724], [""SP-9075, S-2022"", ""Preamble"", 0.784987211227417], [""SP-9075, S-2022"", ""Introduction"", 0.7054296135902405], [""SP-3136, S-2022"", ""Preamble"", 0.2937639653682709], [""SP-3140, S-2022"", ""Preamble"", 0.24506548047065735], [""SP-3107, S-2022"", ""Operative"", 0.18775877356529236], [""SP-3139, S-2022"", ""Preamble"", 0.1876385509967804]]","[[""SP-9075, S-2022"", ""Operative"", 0.9462047815322876], [""SP-9075, S-2022"", ""Introduction"", 0.798729419708252], [""SP-9075, S-2022"", ""Preamble"", 0.6989821195602417], [""SP-3136, S-2022"", ""Preamble"", 0.31465235352516174], [""SP-3140, S-2022"", ""Preamble"", 0.3010999262332916], [""SP-3139, S-2022"", ""Preamble"", 0.23316684365272522], [""SP-3136, S-2022"", ""Operative"", 0.19218400120735168]]"
"What are the implications of authorizing a Certificate of Exception for Victory Liner, Inc. regarding local zoning restrictions?","Ano ang mga implikasyon ng pag-awtorisa ng Certificate of Exception para sa Victory Liner, Inc. kaugnay ng mga lokal na zoning restriction?","Authorizing a Certificate of Exception for Victory Liner, Inc. allows the company to construct a three-storey office building at a specified location by deviating from certain restrictions under the Comprehensive Zoning Ordinance of 2016. This implies that while the project does not fully comply with existing zoning rules, it has been determined not to adversely affect public health, safety, and welfare and aligns with the development pattern of the area. This decision is supported by the absence of objections from the local barangay and residents and is contingent upon the company's compliance with public safety, environmental, and traffic regulations.","SP-8980, S-2022",Operative,"[[""SP-8980, S-2022"", ""Introduction"", 1.0], [""SP-8980, S-2022"", ""Operative"", 0.8029758334159851], [""SP-8985, S-2022"", ""Preamble"", 0.6392074227333069], [""SP-8980, S-2022"", ""Preamble"", 0.6179462671279907], [""SP-8985, S-2022"", ""Introduction"", 0.5479928255081177], [""SP-8663 S-2021"", ""Introduction"", 0.5144331455230713], [""SP-8979, S-2022"", ""Introduction"", 0.4847695231437683]]","[[""SP-8980, S-2022"", ""Introduction"", 1.0], [""SP-8980, S-2022"", ""Operative"", 0.7839363813400269], [""SP-8980, S-2022"", ""Preamble"", 0.6741458177566528], [""SP-8985, S-2022"", ""Preamble"", 0.6281686425209045], [""SP-8985, S-2022"", ""Introduction"", 0.5058255195617676], [""SP-8990, S-2022"", ""Preamble"", 0.5035150051116943], [""SP-8663 S-2021"", ""Introduction"", 0.490725040435791]]","[[""SP-8980, S-2022"", ""Introduction"", 1.0], [""SP-8980, S-2022"", ""Operative"", 0.7648968696594238], [""SP-8980, S-2022"", ""Preamble"", 0.7303453683853149], [""SP-8985, S-2022"", ""Preamble"", 0.617129921913147], [""SP-8990, S-2022"", ""Preamble"", 0.5431385040283203], [""SP-8979, S-2022"", ""Introduction"", 0.4907810688018799], [""SP-8663 S-2021"", ""Introduction"", 0.46701690554618835]]"
What is the condition for senior citizens and PWDs to use the designated parking spaces in Quezon City-owned establishments?,Ano ang kondisyon para magamit ng mga senior citizen at PWDs ang itinalagang parking spaces sa mga pag-aaring establisimyento ng Lungsod Quezon?,"Senior citizens and persons with disabilities (PWDs) are entitled to use the designated ""Senior Citizens and PWDs Parking Space"" only if they are the ones driving the vehicle that will be parked in the allotted space.","SP-2414, S-2015",Operative,"[[""SP-2414, S-2015"", ""Operative"", 1.0], [""SP-2804, S-2018"", ""Operative"", 0.6404513120651245], [""SP-2414, S-2015"", ""Introduction"", 0.6130006313323975], [""SP-2414, S-2015"", ""Preamble"", 0.4726015329360962], [""SP-3234, S-2023"", ""Operative"", 0.43174561858177185]]","[[""SP-2414, S-2015"", ""Operative"", 1.0], [""SP-2414, S-2015"", ""Introduction"", 0.7125149965286255], [""SP-2804, S-2018"", ""Operative"", 0.6454392075538635], [""SP-2414, S-2015"", ""Preamble"", 0.5269913673400879], [""SP-3234, S-2023"", ""Operative"", 0.4867432713508606]]","[[""SP-2414, S-2015"", ""Operative"", 1.0], [""SP-2414, S-2015"", ""Introduction"", 0.8120293021202087], [""SP-2804, S-2018"", ""Operative"", 0.6504271030426025], [""SP-2414, S-2015"", ""Preamble"", 0.5813812613487244], [""SP-3234, S-2023"", ""Operative"", 0.5417409539222717]]"
What authority does the City Mayor have regarding the enforcement of curfew hours in Quezon City as outlined in the ordinance?,Anong awtoridad ang mayroon ang Alkalde ng Lungsod patungkol sa pagpapatupad ng mga oras ng curfew sa Quezon City ayon sa ordinansa?,"The City Mayor is granted the authority to suspend the enforcement of the curfew ordinance and has the power to reinstate it if there is a surge in COVID-19 cases. The Mayor can reimpose the curfew for times recommended by the Metro Manila Council or as deemed reasonable under the circumstances. Additionally, the Mayor is authorized to declare or impose other emergency measures necessary to quickly address the public health emergency, in accordance with applicable laws and regulations.","SP-3061, S-2021",Operative,"[[""SP-3061, S-2021"", ""Operative"", 0.9579733610153198], [""SP-3061, S-2021"", ""Preamble"", 0.7426167726516724], [""SP-3061, S-2021"", ""Introduction"", 0.6038916110992432], [""SP-3102, S-2022"", ""Operative"", 0.5965887308120728], [""SP-3165 S-2022"", ""Operative"", 0.5681775212287903], [""SP-3102, S-2022"", ""Introduction"", 0.47352132201194763], [""SP-3103, S-2022"", ""Operative"", 0.47098153829574585]]","[[""SP-3061, S-2021"", ""Operative"", 0.9658271074295044], [""SP-3061, S-2021"", ""Introduction"", 0.7170654535293579], [""SP-3102, S-2022"", ""Operative"", 0.6944528818130493], [""SP-3165 S-2022"", ""Operative"", 0.5790821313858032], [""SP-3061, S-2021"", ""Preamble"", 0.571027934551239], [""SP-3103, S-2022"", ""Operative"", 0.5218000411987305], [""SP-3102, S-2022"", ""Introduction"", 0.5188486576080322]]","[[""SP-3061, S-2021"", ""Operative"", 0.973680853843689], [""SP-3061, S-2021"", ""Introduction"", 0.8302392363548279], [""SP-3102, S-2022"", ""Operative"", 0.7923170328140259], [""SP-3165 S-2022"", ""Operative"", 0.5899868011474609], [""SP-3103, S-2022"", ""Operative"", 0.5726184844970703], [""SP-3102, S-2022"", ""Introduction"", 0.5641760230064392], [""SP-2022, S-2010"", ""Introduction"", 0.48033756017684937]]"
What is the responsibility of the Tricycle Regulation Division as outlined in this ordinance?,Ano ang responsibilidad ng Tricycle Regulation Division ayon sa ordinansyang ito?,The Tricycle Regulation Division is tasked with ensuring the strict implementation of the ordinance and is granted plenary powers and authority to carry out its provisions.,"SP-3083, S-2021",Operative,"[[""SP-3083, S-2021"", ""Operative"", 0.9544881582260132], [""SP-2514, S-2016"", ""Operative"", 0.6108560562133789], [""SP-3083, S-2021"", ""Preamble"", 0.5825928449630737], [""SP-2373, S-2014"", ""Operative"", 0.5719807147979736], [""SP-1917, S-2009"", ""Operative"", 0.562475323677063]]","[[""SP-3083, S-2021"", ""Operative"", 0.9241468906402588], [""SP-2514, S-2016"", ""Operative"", 0.7035319805145264], [""SP-2373, S-2014"", ""Operative"", 0.6942719221115112], [""SP-1917, S-2009"", ""Operative"", 0.6604843735694885], [""SP-3083, S-2021"", ""Preamble"", 0.5900741815567017], [""SP-2514, S-2016"", ""Introduction"", 0.5473890900611877]]","[[""SP-3083, S-2021"", ""Operative"", 0.8938056230545044], [""SP-2373, S-2014"", ""Operative"", 0.8165631294250488], [""SP-2514, S-2016"", ""Operative"", 0.796207845211029], [""SP-1917, S-2009"", ""Operative"", 0.7584933638572693], [""SP-2514, S-2016"", ""Introduction"", 0.6862651109695435], [""SP-3083, S-2021"", ""Preamble"", 0.652580201625824]]"
